categoria,conversaciones,acuerdos,agreement_rate
fraccionamiento,136,64,0.47058823529411764
extension_plazo,204,91,0.44607843137254904
condonacion_intereses,10,4,0.4
descuento,13,5,0.38461538461538464
refinanciacion,158,56,0.35443037974683544
derivacion_reclamos,56,8,0.14285714285714285
